AWAY_NAME,HOME_NAME,AWAY_GamesWon,AWAY_GamesLost,HOME_GamesWon,HOME_GamesLost,HOMEvsAWAY_winRatio,AWAY_longestWinStreak,AWAY_longestLoseStreak,HOME_longestWinStreak,HOME_longestLoseStreak,AWAY_homeTurfAdvantage,HOME_homeTurfAdvantage,AWAY_nonconsecutiveWins,AWAY_nonconsecutiveLosts,HOME_nonconsecutiveWins,HOME_nonconsecutiveLosts,AWAY TEAM 2P %,AWAY TEAM 3P %,AWAY TEAM FT %,AWAY TEAM ALL throws %,HOME TEAM 2P %,HOME TEAM 3P %,HOME TEAM FT %,HOME TEAM ALL throws %,AWAY TEAM FOULS,HOME TEAM FOULS,AWAY TEAM TO,AWAY TEAM OR,AWAY TEAM DR,HOME TEAM TO,HOME TEAM OR,HOME TEAM DR,Q1 lead HOME vs AWAY,Q2 lead HOME vs AWAY,Q3 lead HOME vs AWAY,Q4 lead HOME vs AWAY,diffPTS_Q2,diffPTS_Q3,finalScoreDifferential,HOME_win
TOR,ATL,3,1,3,0,0,3,1,3,0,0.0,1.0,0,0,0,0,0.46,0.35,0.79,0.44,0.46,0.28,0.75,0.41,12,9,13,10,29,13,13,27,-13,-9,-8,-5,-8,-5,18,True
CLE,CHI,4,2,3,3,-1.0,3,1,1,2,1.0,1.0,1,2,2,1,0.51,0.33,0.77,0.46,0.47,0.35,0.74,0.45,14,12,16,12,28,16,13,34,5,7,11,12,-5,-3,-9,False
MIA,NO,3,2,3,2,0,2,1,3,2,1.0,0.0,1,2,0,0,0.5,0.39,0.68,0.47,0.48,0.41,0.79,0.46,14,10,17,10,30,16,9,28,-4,-1,-1,-3,-18,-19,11,True
MIN,POR,1,4,2,3,0,1,4,1,2,-0.3333,1.0,1,0,1,1,0.48,0.3,0.77,0.46,0.52,0.42,0.83,0.49,11,9,12,9,31,12,10,30,3,2,6,7,7,13,4,True
NJ,IND,2,2,1,3,0,1,2,1,2,-0.3333,0.0,1,0,1,1,0.42,0.27,0.78,0.39,0.49,0.36,0.83,0.45,15,12,14,8,31,15,10,28,4,4,3,4,-5,2,18,True
PHO,MIL,4,2,3,3,0,3,1,2,1,0.0,0.0,1,1,1,2,0.52,0.35,0.73,0.48,0.49,0.28,0.72,0.46,12,15,14,7,28,17,11,29,-2,-3,-8,0,14,20,-8,False
WAS,ORL,0,4,3,2,0,0,4,3,2,-1.0,0.5,0,0,0,0,0.52,0.32,0.69,0.48,0.49,0.27,0.7,0.44,13,11,12,7,28,13,13,31,3,1,0,3,-6,-1,25,True
ATL,OKC,4,0,1,4,0,4,0,1,2,1.0,-0.3333,0,0,1,0,0.47,0.36,0.75,0.44,0.43,0.34,0.75,0.42,7,10,14,13,31,16,13,31,3,1,-4,-1,12,14,-4,False
BOS,DET,5,1,4,1,0,3,1,4,1,1.0,1.0,0,1,0,0,0.46,0.29,0.78,0.42,0.48,0.36,0.85,0.46,14,12,20,12,33,13,11,30,-1,-2,0,-1,8,5,-12,False
DAL,LAC,2,3,0,6,0,1,1,0,6,-1.0,-1.0,2,2,0,0,0.44,0.23,0.83,0.4,0.45,0.26,0.62,0.41,14,13,11,11,34,13,13,29,-1,-2,-2,-4,-1,7,11,True
