DATE,AWAY_NAME,HOME_NAME,AWAY_2PA,AWAY_2PM,AWAY_3PA,AWAY_3PM,AWAY_FTA,AWAY_FTM,AWAY_TO,AWAY_ORB,AWAY_DRB,HOME_2PA,HOME_2PM,HOME_3PA,HOME_3PM,HOME_FTA,HOME_FTM,HOME_TO,HOME_ORB,HOME_DRB,AWAY_PTS_Q1,HOME_PTS_Q1,AWAY_PTS_Q2,HOME_PTS_Q2,AWAY_PTS_Q3,HOME_PTS_Q3,AWAY_PTS_Q4,HOME_PTS_Q4,AWAY_PTS_FINAL,HOME_PTS_FINAL,HOME_WIN
2008-11-12,IND,NJ,59,29,15,6,25,22,12,9,29,58,26,22,8,15,11,18,13,29,28,24,50,43,69,59,98,87,98,87,False
2008-11-12,LAL,NO,62,26,16,6,28,23,9,9,31,59,29,17,5,20,13,17,8,35,28,17,51,30,71,52,93,86,93,86,False
2008-11-12,NY,MEM,54,33,34,19,9,9,12,5,31,66,35,16,5,22,18,17,9,30,23,24,60,49,95,77,132,103,132,103,False
2008-11-12,ORL,OKC,69,34,22,7,27,20,8,9,41,80,31,11,3,27,21,13,10,40,39,19,71,42,87,71,109,92,109,92,False
2008-11-12,PHI,TOR,69,37,11,6,17,14,13,9,31,59,29,21,5,28,23,14,14,23,26,13,51,45,78,71,106,96,106,96,False
2008-11-12,POR,MIA,59,30,19,7,31,23,12,12,28,49,25,23,9,24,19,19,7,28,27,19,50,47,73,75,104,96,104,96,False
2008-11-12,SA,MIL,54,25,20,7,9,7,11,7,30,64,29,11,2,25,18,8,14,33,18,15,43,31,59,53,78,82,78,82,True
2008-11-12,SAC,LAC,66,37,14,5,18,14,13,10,30,57,24,20,10,27,20,13,10,20,27,20,50,45,81,69,103,98,103,98,False
2008-11-12,UTA,WAS,57,26,19,7,19,14,18,13,24,57,24,14,5,40,32,17,16,26,26,23,41,46,66,65,87,95,87,95,True
2008-11-13,DAL,CHI,72,28,15,4,30,23,14,16,38,76,32,9,3,33,25,7,10,36,32,22,50,51,70,78,91,98,91,98,True
2008-11-13,DEN,CLE,54,27,19,8,24,21,14,8,25,66,41,16,6,12,10,9,8,26,36,33,61,58,81,88,99,110,99,110,True
2008-11-13,DET,GS,73,33,13,6,31,23,18,13,36,81,36,9,1,37,27,15,18,33,21,23,46,53,80,73,107,102,107,102,False
2008-11-14,ATL,NJ,53,23,27,15,23,17,12,9,25,67,31,13,7,39,32,8,14,31,22,27,50,49,76,73,108,115,108,115,True
2008-11-14,DEN,BOS,66,34,14,5,13,11,19,12,31,48,19,25,10,21,17,18,12,25,23,29,48,42,64,65,94,85,94,85,False
2008-11-14,DET,LAL,53,28,16,7,34,29,19,7,35,76,36,19,4,16,11,12,16,27,23,16,53,44,77,62,106,95,106,95,False
2008-11-14,HOU,SA,60,24,15,6,11,9,14,10,29,51,23,16,7,14,10,14,5,31,23,21,43,40,62,55,75,77,75,77,True
2008-11-14,MIL,MEM,78,32,13,3,32,28,19,23,39,67,29,19,5,24,23,13,8,28,21,25,37,49,64,64,87,87,101,96,False
2008-11-14,OKC,NY,86,43,7,1,24,17,16,12,40,62,33,27,7,40,29,14,11,37,20,37,44,68,77,93,106,116,106,116,True
2008-11-14,ORL,DAL,60,24,25,9,37,27,13,15,32,71,33,16,5,23,19,18,16,38,17,21,46,56,72,80,102,100,102,100,False
2008-11-14,PHI,IND,87,33,8,2,31,22,10,20,34,60,29,24,8,17,10,19,11,38,13,38,49,57,71,78,94,92,94,92,False
2008-11-14,PHO,SAC,63,31,15,5,34,20,23,15,33,63,30,17,4,30,23,19,9,31,27,23,53,42,70,61,86,86,97,95,False
2008-11-14,POR,NO,48,23,21,7,18,15,11,7,31,49,23,22,7,24,20,9,11,29,19,21,44,41,62,64,82,87,82,87,True
2008-11-14,UTA,CHA,70,31,12,5,24,19,20,18,23,61,29,12,5,38,31,15,17,22,25,18,43,44,68,71,96,104,96,104,True
2008-11-14,WAS,MIA,61,26,15,5,18,10,13,10,23,61,33,24,7,15,10,15,18,34,20,27,36,49,53,76,77,97,77,97,True
2008-11-15,BOS,MIL,49,23,18,8,36,32,19,7,30,73,26,12,5,38,30,14,18,25,21,20,50,38,71,59,93,93,102,97,False
2008-11-15,GS,LAC,75,41,19,7,24,18,12,14,34,65,30,26,6,28,25,11,14,26,36,31,58,50,90,83,121,103,121,103,False
2008-11-15,IND,CHI,78,31,16,4,21,17,20,17,42,78,32,15,5,27,25,11,8,40,19,27,47,55,73,81,91,104,91,104,True
2008-11-15,NJ,ATL,51,26,18,12,36,31,18,8,26,52,26,24,9,36,28,17,10,20,29,28,55,50,85,73,119,107,119,107,False
2008-11-15,NO,HOU,66,28,10,3,20,17,8,10,25,51,24,15,6,28,25,16,9,32,21,26,36,48,53,70,82,91,82,91,True
2008-11-15,OKC,PHI,79,32,7,2,21,15,19,12,33,82,39,14,6,23,14,14,19,39,22,24,42,46,60,79,85,110,85,110,True
2008-11-15,POR,MIN,55,24,20,9,18,13,12,10,31,70,32,7,2,14,13,11,7,26,27,25,41,51,65,71,88,83,88,83,False
2008-11-15,UTA,CLE,59,25,13,8,24,19,18,10,27,50,25,29,11,26,22,12,14,26,21,25,53,46,76,80,93,105,93,105,True
2008-11-16,DAL,NY,90,40,17,7,31,23,10,18,40,74,34,30,11,16,13,15,15,39,26,35,57,64,89,91,112,112,124,114,False
2008-11-16,DET,PHO,70,30,13,3,25,17,14,17,26,60,35,12,6,28,16,14,9,31,23,31,46,61,67,81,86,104,86,104,True
2008-11-16,MIA,TOR,68,29,24,8,15,14,12,15,20,59,30,17,6,34,29,20,16,36,27,29,54,50,78,80,96,107,96,107,True
2008-11-16,MIN,DEN,65,27,13,4,25,18,19,10,37,60,18,23,10,33,24,10,13,29,17,27,40,44,67,65,84,90,84,90,True
2008-11-16,ORL,CHA,47,25,26,7,24,19,14,8,30,62,29,12,3,27,18,14,11,30,19,21,38,43,65,61,90,85,90,85,False
2008-11-16,SA,SAC,54,25,20,9,17,13,14,6,28,59,27,15,6,19,16,18,9,33,15,23,43,42,68,72,90,88,90,88,False
2008-11-17,HOU,OKC,75,41,8,1,16,15,17,14,34,76,31,8,3,27,18,13,14,25,32,30,56,50,81,69,100,89,100,89,False
2008-11-17,PHO,UTA,58,31,16,5,27,20,13,5,21,77,37,8,3,36,26,11,17,30,32,23,54,57,77,83,97,109,97,109,True
2008-11-17,SA,LAC,61,28,20,8,6,6,16,5,31,71,33,16,3,10,8,13,14,33,21,23,43,38,68,64,86,83,86,83,False
2008-11-18,ATL,IND,66,29,19,7,25,17,10,12,29,67,36,13,8,24,17,14,8,38,25,32,48,61,73,88,96,113,96,113,True
2008-11-18,CHI,LAL,75,35,18,5,29,24,22,14,34,83,41,15,5,25,19,15,14,29,29,30,56,61,74,90,109,116,109,116,True
